label	text 
생활문화	유튜브 내달 2 일 까지 크리에이터 지원 공간 운영 
생활문화	어버이날 맑 다가 흐려져 … 남부 지방 옅 은 황사 
사회	내년 부터 국가 RD 평가 때 논문 건수 는 반영 않 는다 
사회	김명자 신임 과 총 회장 원로 와 젊 은 과학자 지혜 모을 것 
생활문화	회색 인간 작가 김동식 양 심 고 백 등 새 소설 집 2 권 출간 
IT과학	야외 서 생 방송 하 세요 … 액션 캠 전용 요금제 잇따라 
스포츠	월드컵 태극 전사 16 강 전 초기 지 레오강 입 성 종합 
생활문화	미세먼지 속 출근길 
세계	왓츠 앱 稅 230 원 에 성난 레바논 민심 … 총리 사퇴 로 이어져 종합 2 보 
세계	베트남 경제 고성장 지속 … 2 분기 GDP 6 . 71 % 성장 
세계	그리스 서 한 국전 참전 기념식 … 참전 용사 한반도 평화 기원 
정치	정진석 이정현 당 현실 냉정 하 게 봐야 … 물러나 는 게 좋 다 종합 
세계	美 베네수엘라 구호품 반입 촉구 안보리 결의 추진 
스포츠	황재균 쐐기 타 … kt 갈 길 바쁜 삼성 에 고춧가루 
정치	정상 회담 D 1 文 대통령 취임 후 남북 관계 주요 일지 
경제	LGU ＋ 1 분기 영업 익 1 천 706 억 원 … 마케팅 비용 감소 종합 
정치	박원순 시장 아부다비 루브르 박물관 방문 
사회	방 심위 강릉 서 고성 산불 현장 처럼 보도 한 KBS 관계자 징계 
세계	파키스탄 경제난 속 카타르 서 30 억 달러 투자 유치 
세계	일본 예산 팽창 에 재정 건전 성 우려 … 내년 에 장기 채무 GDP 2 배 
세계	칠레 민중 가수 살해 하 고 미국 도피 전 군인 법정 에 선다 
세계	日 온라인 으로 중국인 비자 신청 받 는다 
세계	미 동부 마비 시킨 악 성 파일 국내 서 도 발견 
IT과학	국내 발간 나노 분야 학술지 나노 컨버전스 SCIE 등재 
IT과학	5 G 상용 화 행정 절차 완료 … 이통 3 사 내일 동시 전파 발사 
생활문화	예스 24 독자 들 이 선정 한 올해 의 책 여행 의 이유 
사회	이해찬 정경두 에 안 보 지 원사 기무사 같 은 일 없 도록 해야 
사회	미래 부 17 개 부처 별 연구비 관리 시스템 2 개 로 통합 한다 
스포츠	손흥민 더 승부 욕 갖 고 거칠 게 해야 … 나 부터 반성 
사회	SK 텔레콤 안양시 모빌리티 · 스마트 시티 조성 업무 협약 
생활문화	울산 오후 4 시 건조 주의보 
경제	기업 들 日 규제 직접 피해 보다 수입 불 확실 성 이 더 문제 
세계	日 경제 산업 상 경제 보복 비판 여론 에 언론 이 제대로 이해 못 해 
스포츠	다시 포효 한 황의조 3 년 만 의 A 매치 골 집중력 유지 한 . .. 
사회	최근 5 년 간 공무원 시험 응시 127 만 명 … 경제 비용 수조 원 
세계	트럼프 의회 서 장벽 예산 합의 할 가능 성 50 % 이하 
스포츠	프리미어 12 보 러 온 MLB 최지만 저 도 뛰 고 싶 었 지만 
세계	베네수엘라 대통령 미국 과 관계 복원 대화 재개 합의 
정치	朴 대통령 울산 십 리 대숲 · 재래 시장 방문 … 휴가 중 민생 행보 
스포츠	어빙 NBA 통산 1 만 점 … 보스턴 동부 1 위 토론토 제압 . .. 
